# Annotated with Bakta
# Software: v1.9.3
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	336	1262	+	NNDDNG_00005	rlhA	23S rRNA C2501 and tRNA U34 5'-hydroxylation protein RlhA/YrrN/YrrO, U32 peptidase family	COG:COG0826, COG:J, RefSeq:WP_002270721.1, SO:0001217, UniParc:UPI0002B58B16, UniRef:UniRef100_A0A829BY38, UniRef:UniRef50_A0A064BXJ2, UniRef:UniRef90_Q8DUX5
contig_1	cds	1534	2820	+	NNDDNG_00010	rlhA	23S rRNA C2501 and tRNA U34 5'-hydroxylation protein RlhA/YrrN/YrrO, U32 peptidase family	COG:COG0826, COG:J, EC:3.4.-.-, KEGG:K08303, RefSeq:WP_002263621.1, SO:0001217, UniParc:UPI00000E2F1B, UniRef:UniRef100_Q6DUC7, UniRef:UniRef50_A0A0F2CHS7, UniRef:UniRef90_G5JYM9
contig_1	cds	2950	3510	+	NNDDNG_00015	ahpC	alkyl hydroperoxide reductase subunit C	COG:COG0450, COG:V, EC:1.11.1.26, GO:0006979, GO:0102039, KEGG:K24119, RefSeq:WP_002263620.1, SO:0001217, UniParc:UPI00000DC720, UniRef:UniRef100_O66265, UniRef:UniRef50_K0J4Q8, UniRef:UniRef90_O66265
contig_1	cds	3520	5052	+	NNDDNG_00020	ahpF	alkyl hydroperoxide reductase subunit F	COG:COG3634, COG:V, GO:0006805, GO:0009398, GO:0016668, RefSeq:WP_002263619.1, SO:0001217, UniParc:UPI00000DCC6D, UniRef:UniRef100_O66266, UniRef:UniRef50_C7HWD0, UniRef:UniRef90_O66266
contig_1	cds	5079	5396	-	NNDDNG_00025		YolD-like family protein	RefSeq:WP_002261922.1, SO:0001217, UniParc:UPI00000E2F1C, UniRef:UniRef100_A0A2J9QF06, UniRef:UniRef50_A0A2J9QF06, UniRef:UniRef90_A0A2J9QF06
contig_1	cds	5530	5742	+	NNDDNG_00030		Transcriptional coactivator p15 (PC4) C-terminal domain-containing protein	COG:COG4443, COG:S, RefSeq:WP_002261923.1, SO:0001217, UniParc:UPI00000E2F1D, UniRef:UniRef100_Q8DUX2, UniRef:UniRef50_A0A081SC70, UniRef:UniRef90_Q8DUX2
contig_1	cds	5932	7272	-	NNDDNG_00035	mntH	Nramp family divalent metal transporter	COG:COG1914, COG:P, GO:0016020, GO:0022857, GO:0055085, KEGG:K03322, SO:0001217, UniRef:UniRef50_Q8GH68, UniRef:UniRef90_UPI002573D8DB
contig_1	cds	8391	10571	+	NNDDNG_00040		Glucan-binding domain (YG repeat)	COG:COG5263, COG:G, SO:0001217, UniRef:UniRef50_A0A380JF13, UniRef:UniRef90_Q8DUW9
contig_1	cds	10966	12456	-	NNDDNG_00045	lysS	lysine--tRNA ligase	COG:COG1190, COG:J, EC:6.1.1.6, GO:0000287, GO:0003676, GO:0004824, GO:0005524, GO:0005737, GO:0006430, GO:0016740, KEGG:K04567, RefSeq:WP_002261927.1, SO:0001217, UniParc:UPI00000E2F21, UniRef:UniRef100_Q8DUW8, UniRef:UniRef50_Q5XD62, UniRef:UniRef90_Q8DUW8
contig_1	cds	12960	14144	+	NNDDNG_00050	lysM	LysM domain-containing protein	RefSeq:WP_002267400.1, SO:0001217, UniParc:UPI0002B5D7ED, UniRef:UniRef100_A0A829BMD6, UniRef:UniRef50_A0A1Q8RH08, UniRef:UniRef90_A0A829BMD6
contig_1	cds	14161	14643	+	NNDDNG_00055		Valyl-tRNA synthetase	RefSeq:WP_002267401.1, SO:0001217, UniParc:UPI0002B5D2D2, UniRef:UniRef100_A0A829BL28, UniRef:UniRef50_E3CPV1, UniRef:UniRef90_A0A829BL28
contig_1	cds	14851	15753	+	NNDDNG_00060	yigB	FMN and 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB, HAD superfamily (riboflavin biosynthesis)	COG:COG1011, COG:H, RefSeq:WP_002266042.1, SO:0001217, UniParc:UPI000268A921, UniRef:UniRef100_A0A2J9QF16, UniRef:UniRef50_A0A2D4DQW0, UniRef:UniRef90_Q8DUW7
contig_1	cds	16058	18211	-	NNDDNG_00065	mdoB	Phosphoglycerol transferase MdoB/OpgB, AlkP superfamily	COG:COG1368, COG:M, EC:2.7.8.20, KEGG:K19005, RefSeq:WP_002267402.1, SO:0001217, UniParc:UPI0001B058AC, UniRef:UniRef100_A0A2J9QF01, UniRef:UniRef50_F9HMY2, UniRef:UniRef90_Q8DUW6
contig_1	cds	18215	19501	+	NNDDNG_00070	rlmI	23S rRNA G2069 N7-methylase RlmK or C1962 C5-methylase RlmI	COG:COG1092, COG:J, SO:0001217, UniRef:UniRef50_A0A380KQE2, UniRef:UniRef90_A0A2J9QGY4
contig_1	cds	19508	20185	+	NNDDNG_00075	aroD	3-dehydroquinate dehydratase	COG:COG0710, COG:E, EC:4.2.1.10, GO:0003855, GO:0008652, GO:0009073, GO:0009423, GO:0046279, RefSeq:WP_002261931.1, SO:0001217, UniParc:UPI00000E2F25, UniRef:UniRef100_Q8DUW4, UniRef:UniRef50_Q8DUW4, UniRef:UniRef90_Q8DUW4
contig_1	cds	20175	21044	+	NNDDNG_00080	aroE	shikimate dehydrogenase	COG:COG0169, COG:E, EC:1.1.1.25, GO:0004764, GO:0008652, GO:0009073, GO:0009423, GO:0019632, GO:0050661, KEGG:K00014, RefSeq:WP_002277561.1, SO:0001217, UniParc:UPI0001B058AA, UniRef:UniRef100_A0A829BQV0, UniRef:UniRef50_Q9CES7, UniRef:UniRef90_Q8DUW3
contig_1	cds	21058	22125	+	NNDDNG_00085	aroB	3-dehydroquinate synthase	COG:COG0337, COG:E, EC:4.2.3.4, GO:0000166, GO:0003856, GO:0005737, GO:0008652, GO:0009073, GO:0009423, GO:0046872, RefSeq:WP_002267405.1, SO:0001217, UniParc:UPI0002B59015, UniRef:UniRef100_UPI0002B59015, UniRef:UniRef50_Q9CES8, UniRef:UniRef90_Q8DUW2
contig_1	cds	22127	23293	+	NNDDNG_00090	aroC	chorismate synthase	COG:COG0082, COG:E, EC:4.2.3.5, GO:0004107, GO:0008652, GO:0009073, GO:0009423, KEGG:K01736, RefSeq:WP_002267654.1, SO:0001217, UniParc:UPI0002B5EA23, UniRef:UniRef100_A0A2J9QEZ8, UniRef:UniRef50_Q59803, UniRef:UniRef90_Q8DUW1
contig_1	cds	23357	24463	+	NNDDNG_00095	tyrA	prephenate dehydrogenase	COG:COG0287, COG:E, EC:1.3.1.12, RefSeq:WP_002294660.1, SO:0001217, UniParc:UPI0002B5CDF5, UniRef:UniRef100_UPI0002B5CDF5, UniRef:UniRef50_Q9CET9, UniRef:UniRef90_A0A829BY70
contig_1	cds	24474	24815	+	NNDDNG_00100	ylbF	YlbF/YmcA family competence regulator	COG:COG3679, COG:T, RefSeq:WP_002261936.1, SO:0001217, UniParc:UPI00000E2F2A, UniRef:UniRef100_Q8DUV9, UniRef:UniRef50_Q8DYU7, UniRef:UniRef90_Q8DUV9
contig_1	cds	24812	24904	+	NNDDNG_00105		hypothetical protein	
contig_1	cds	24978	26261	+	NNDDNG_00110	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	COG:COG0128, COG:E, EC:2.5.1.19, GO:0003866, GO:0005737, GO:0008652, GO:0009073, GO:0009423, RefSeq:WP_082999626.1, SO:0001217, UniParc:UPI0009F23BDD, UniRef:UniRef100_A0A2J9QFT0, UniRef:UniRef50_P0CZ72, UniRef:UniRef90_Q8DUV8
contig_1	cds	26254	26730	+	NNDDNG_00115	aroK	Shikimate kinase	COG:COG0703, COG:E, RefSeq:WP_002266035.1, SO:0001217, UniParc:UPI0002B55834, UniRef:UniRef100_UPI0002B55834, UniRef:UniRef50_A8AXY8, UniRef:UniRef90_Q8DUV7
contig_1	cds	26727	27551	+	NNDDNG_00120	pheA	prephenate dehydratase	COG:COG0077, COG:E, EC:4.2.1.51, GO:0004664, GO:0009094, RefSeq:WP_002264791.1, SO:0001217, UniParc:UPI000264EE1A, UniRef:UniRef100_A0A2J9QF04, UniRef:UniRef50_Q9CEU2, UniRef:UniRef90_Q8DUV6
contig_1	cds	27596	28984	+	NNDDNG_00125	cps2a	Anionic cell wall polymer biosynthesis enzyme TagV/TagU, LytR-Cps2A-Psr (LCP) family (peptidoglycan teichoic acid transferase)	COG:COG1316, COG:M, RefSeq:WP_019315764.1, SO:0001217, UniParc:UPI0002DF8D4D, UniRef:UniRef100_UPI0002DF8D4D, UniRef:UniRef50_I2J863, UniRef:UniRef90_A0A1L7LKA0
contig_1	cds	29156	30511	+	NNDDNG_00130	rlmD	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	COG:COG2265, COG:J, EC:2.1.1.-, EC:2.1.1.190, GO:0008173, GO:0008649, GO:0008757, GO:0034470, SO:0001217, UniRef:UniRef50_Q9CGB9, UniRef:UniRef90_Q8DUV4
contig_1	cds	31031	31666	+	NNDDNG_00135		Protease	SO:0001217, UniRef:UniRef50_Q8DUV3, UniRef:UniRef90_Q8DUV3
contig_1	cds	31993	32121	+	NNDDNG_00140		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_A0A829BY81, UniRef:UniRef90_UPI0004B71208
