# Annotated with Bakta
# Software: v1.9.3
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	96	608	+	HHPIGJ_00005		HXXEE domain-containing protein	RefSeq:WP_002261919.1, SO:0001217, UniParc:UPI00000E2EAE, UniRef:UniRef100_Q8DV83, UniRef:UniRef50_Q8DV83, UniRef:UniRef90_Q8DV83
contig_1	cds	654	1673	+	HHPIGJ_00010	trmN6	tRNA1(Val) A37 N6-methylase TrmN6	COG:COG4123, COG:J, SO:0001217, UniRef:UniRef50_B9DUR0, UniRef:UniRef90_Q8DV84
contig_2	cds	255	731	+	HHPIGJ_00015	fur	Fe2+ or Zn2+ uptake regulation protein Fur/Zur	COG:COG0735, COG:P, RefSeq:WP_002263255.1, SO:0001217, UniParc:UPI00000E2E9A, UniRef:UniRef100_A0A2J9QFF4, UniRef:UniRef50_P72567, UniRef:UniRef90_A0A1L7LKU9
contig_2	cds	795	950	+	HHPIGJ_00020	ypfN	YpfN family protein	RefSeq:WP_002263254.1, SO:0001217, UniParc:UPI00000E2E9B, UniRef:UniRef100_Q8DVA2, UniRef:UniRef50_Q8DVA2, UniRef:UniRef90_Q8DVA2
contig_2	cds	1013	1948	-	HHPIGJ_00025	pyrD	dihydroorotate oxidase	COG:COG0167, COG:F, EC:1.3.98.1, GO:0004152, GO:0006221, RefSeq:WP_019319936.1, SO:0001217, UniParc:UPI0002E1F16E, UniRef:UniRef100_A0A2J9QHN3, UniRef:UniRef50_Q8DVA1, UniRef:UniRef90_Q8DVA1
contig_3	cds	505	864	-	HHPIGJ_00030		hypothetical protein	RefSeq:WP_002263746.1, SO:0001217, UniParc:UPI000268A69D, UniRef:UniRef100_A0A829BQR3, UniRef:UniRef50_J3A2K4, UniRef:UniRef90_J3A2K4
contig_3	cds	908	1132	-	HHPIGJ_00035		Bacteriocin-type signal sequence	SO:0001217, UniRef:UniRef50_A0A380JCD1, UniRef:UniRef90_J3JQ20
contig_4	cds	165	434	+	HHPIGJ_00040		hypothetical protein	SO:0001217, UniParc:UPI000F6D8D27, UniRef:UniRef100_UPI000F6D8D27, UniRef:UniRef50_UPI001425CA7D, UniRef:UniRef90_UPI001425CA7D
contig_4	cds	376	726	-	HHPIGJ_00045	rbfA	30S ribosome-binding factor RbfA	COG:COG0858, COG:J, GO:0005737, GO:0006396, GO:0019843, GO:0030490, RefSeq:WP_002262599.1, SO:0001217, UniParc:UPI00000E2E0A, UniRef:UniRef100_Q8DVP8, UniRef:UniRef50_Q1J5B5, UniRef:UniRef90_Q8DVP8
contig_4	cds	960	3710	-	HHPIGJ_00050	infB	translation initiation factor IF-2	COG:COG0532, COG:J, GO:0003743, GO:0003924, GO:0005525, GO:0005737, GO:0006413, KEGG:K02519, RefSeq:WP_002268773.1, SO:0001217, UniParc:UPI0001B05682, UniRef:UniRef100_UPI0001B05682, UniRef:UniRef50_P0DB84, UniRef:UniRef90_Q8DVP9
contig_4	cds	3731	4033	-	HHPIGJ_00055	rpl7Ae	YlxQ-related RNA-binding protein	COG:COG1358, COG:J, RefSeq:WP_002269515.1, SO:0001217, UniParc:UPI0002B55B54, UniRef:UniRef100_A0A2J9QGM4, UniRef:UniRef50_D0RTC3, UniRef:UniRef90_A0A2J9QGM4
contig_4	cds	4026	4322	-	HHPIGJ_00060	ylxR	DUF448 domain-containing protein	COG:COG2740, COG:R, RefSeq:WP_002263922.1, SO:0001217, UniParc:UPI00000E2E07, UniRef:UniRef100_A0A2J9QGK8, UniRef:UniRef50_R2QZ86, UniRef:UniRef90_J3AM42
contig_4	cds	4340	5521	-	HHPIGJ_00065	nusA	Transcription antitermination factor NusA, contains S1 and KH domains	COG:COG0195, COG:K, SO:0001217, UniRef:UniRef50_U5P5U5, UniRef:UniRef90_A0A1L7LLB5
contig_4	cds	5569	6060	-	HHPIGJ_00070	rimP	ribosome maturation factor RimP	COG:COG0779, COG:J, GO:0005737, GO:0042274, RefSeq:WP_002262604.1, SO:0001217, UniParc:UPI00000E2E05, UniRef:UniRef100_Q8DVQ3, UniRef:UniRef50_P59819, UniRef:UniRef90_Q8DVQ3
contig_5	cds	251	514	-	HHPIGJ_00075		Integral membrane protein	SO:0001217, UniRef:UniRef50_Q73JY4, UniRef:UniRef90_A0A2J9QE69
contig_5	cds	671	997	-	HHPIGJ_00080		hypothetical protein	RefSeq:WP_002266136.1, SO:0001217, UniParc:UPI000264EDBB, UniRef:UniRef100_UPI000264EDBB, UniRef:UniRef50_Q8DT73, UniRef:UniRef90_A0A1L7LIB4
contig_5	cds	1361	3766	-	HHPIGJ_00085	pheT	phenylalanine--tRNA ligase subunit beta	COG:COG0073, COG:J, EC:6.1.1.20, GO:0000049, GO:0000287, GO:0004826, GO:0005524, GO:0005737, GO:0006432, GO:0009328, GO:0016740, KEGG:K01890, SO:0001217, UniRef:UniRef50_Q5XCX3, UniRef:UniRef90_Q8CWX2
contig_5	cds	3780	4301	-	HHPIGJ_00090	rimI	Ribosomal protein S18 acetylase RimI and related acetyltransferases	COG:COG0456, COG:J, RefSeq:WP_002264816.1, SO:0001217, UniParc:UPI000264EDB6, UniRef:UniRef100_UPI000264EDB6, UniRef:UniRef50_F8LID7, UniRef:UniRef90_Q8DT67
contig_5	cds	4376	5419	-	HHPIGJ_00095	pheS	phenylalanine--tRNA ligase subunit alpha	COG:COG0016, COG:J, EC:6.1.1.20, GO:0004826, GO:0006432, GO:0009328, KEGG:K01889, SO:0001217, UniRef:UniRef50_Q9A0I1, UniRef:UniRef90_A0A2X3VEY5
contig_5	cds	5858	9394	-	HHPIGJ_00100	smc	chromosome segregation protein SMC	COG:COG1196, COG:D, GO:0005524, GO:0007059, GO:0030261, SO:0001217, UniRef:UniRef50_A0A0E3WFH7, UniRef:UniRef90_Q7ZAL0
contig_5	cds	9394	10089	-	HHPIGJ_00105	rnc	ribonuclease III	COG:COG0571, COG:K, EC:3.1.26.3, GO:0004525, GO:0005737, GO:0006364, GO:0006396, GO:0006397, GO:0008033, GO:0019843, GO:0046872, RefSeq:WP_002266141.1, SO:0001217, UniParc:UPI0001B0582A, UniRef:UniRef100_A0A2J9QDC8, UniRef:UniRef50_P66670, UniRef:UniRef90_Q8DT66
contig_5	cds	10197	11000	-	HHPIGJ_00110	phnP	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase	COG:COG1235, COG:P, RefSeq:WP_002262928.1, SO:0001217, UniParc:UPI00000E317A, UniRef:UniRef100_A0A2J9QDA1, UniRef:UniRef50_A0A0H2ZQT7, UniRef:UniRef90_A0A2J9QDA1
contig_5	cds	10997	12349	-	HHPIGJ_00115	vicK	cell wall metabolism sensor histidine kinase VicK	COG:COG5002, COG:T, EC:2.7.13.3, RefSeq:WP_002264821.1, SO:0001217, UniParc:UPI000264EDB3, UniRef:UniRef100_A0A2J9QDB5, UniRef:UniRef50_A0A0H2ZNH9, UniRef:UniRef90_Q8DT64
contig_5	cds	12342	13049	-	HHPIGJ_00120	walR	Transcriptional regulatory protein WalR	RefSeq:WP_002262930.1, SO:0001217, UniParc:UPI00000DC8DB, UniRef:UniRef100_Q93MY4, UniRef:UniRef90_Q93MY4
contig_5	cds	13402	14184	+	HHPIGJ_00125	glnQ	ABC-type polar amino acid transport system, ATPase component	COG:COG1126, COG:E, SO:0001217, UniRef:UniRef50_F3UTB8, UniRef:UniRef90_Q8DT63
contig_5	cds	14181	14993	+	HHPIGJ_00130	hisJ	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	COG:COG0834, COG:ET, RefSeq:WP_002262932.1, SO:0001217, UniParc:UPI00000E317D, UniRef:UniRef100_A0A2J9QE41, UniRef:UniRef50_V6Z190, UniRef:UniRef90_A0A829BUU6
contig_5	cds	15011	15715	+	HHPIGJ_00135	hisM	ABC-type amino acid transport system, permease component	COG:COG0765, COG:E, RefSeq:WP_002266143.1, SO:0001217, UniParc:UPI0002B4EA5E, UniRef:UniRef100_A0A829BM85, UniRef:UniRef50_A0A081PWD5, UniRef:UniRef90_Q8DT61
contig_5	cds	15730	16380	+	HHPIGJ_00140	hisM	ABC-type amino acid transport system, permease component	COG:COG0765, COG:E, RefSeq:WP_002262934.1, SO:0001217, UniParc:UPI00000E317F, UniRef:UniRef100_A0A2J9QD98, UniRef:UniRef50_A0A074J9Y7, UniRef:UniRef90_J3FA85
contig_5	cds	16448	17329	-	HHPIGJ_00145	endA	Membrane nuclease EndA	RefSeq:WP_002262935.1, SO:0001217, UniParc:UPI00000E3180, UniRef:UniRef100_Q8DT59, UniRef:UniRef50_A0A7X2QQT2, UniRef:UniRef90_Q8DT59
contig_5	cds	17371	17559	-	HHPIGJ_00150		DNA-directed RNA polymerase subunit beta	RefSeq:WP_002264826.1, SO:0001217, UniParc:UPI0001B05823, UniRef:UniRef100_A0A829BQ37, UniRef:UniRef50_Q9A0I3, UniRef:UniRef90_Q8DT58
