# Annotated with Bakta
# Software: v1.9.3
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	174	1067	-	HPMCLD_00005		Phage repressor protein C, contains Cro/C1-type HTH and peptisase s24 domains	COG:COG2932, COG:X, RefSeq:WP_002279023.1, SO:0001217, UniParc:UPI0002B5A184, UniRef:UniRef100_UPI0002B5A184, UniRef:UniRef50_A0A2X3VYA5, UniRef:UniRef90_A0A829BVB3
contig_1	cds	1383	1667	+	HPMCLD_00010	xRE	DNA-binding transcriptional regulator, XRE-family HTH domain	COG:COG1476, COG:K, RefSeq:WP_002262720.1, SO:0001217, UniParc:UPI000268A8F7, UniRef:UniRef100_A0A090AX29, UniRef:UniRef50_A0A0A8K8A2, UniRef:UniRef90_A0A0A8K8A2
contig_1	cds	1830	3581	+	HPMCLD_00015	gbpC	Glucan-binding protein C, GbpC	SO:0001217, UniRef:UniRef50_G5JTM9, UniRef:UniRef90_Q8DTF1
contig_1	cds	3976	4104	+	HPMCLD_00020		hypothetical protein	RefSeq:WP_002262718.1, SO:0001217, UniParc:UPI00000E3123, UniRef:UniRef100_A0A090B431, UniRef:UniRef50_A0A1L7LIF4, UniRef:UniRef90_A0A1L7LIF4
contig_1	cds	4353	6188	+	HPMCLD_00025	lepA	translation elongation factor 4	COG:COG0481, COG:J, EC:3.6.5.n1, GO:0003746, GO:0003924, GO:0005525, GO:0005886, GO:0043022, GO:0045727, RefSeq:WP_168751554.1, SO:0001217, UniParc:UPI001455A385, UniRef:UniRef100_UPI001455A385, UniRef:UniRef50_Q39US7, UniRef:UniRef90_Q8DTF3
contig_1	cds	6217	7044	+	HPMCLD_00030	menH	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold	COG:COG0596, COG:HR, SO:0001217, UniRef:UniRef50_Q8DTF4, UniRef:UniRef90_Q8DTF4
contig_1	cds	7123	7599	+	HPMCLD_00035	rimI	Ribosomal protein S18 acetylase RimI and related acetyltransferases	COG:COG0456, COG:J, SO:0001217, UniRef:UniRef50_A0A3R9HVS1, UniRef:UniRef90_Q8DTF5
contig_1	cds	7679	8281	+	HPMCLD_00040		DUF6287 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0H5ATQ9, UniRef:UniRef90_A0A0H5ATQ9
contig_1	cds	8346	9002	-	HPMCLD_00045		Pr6Pr family membrane protein	SO:0001217, UniRef:UniRef50_Q8DTF7, UniRef:UniRef90_Q8DTF7
contig_1	cds	9321	10961	+	HPMCLD_00050	pckA	Phosphoenolpyruvate carboxykinase, ATP-dependent	COG:C, COG:COG1866, RefSeq:WP_002270552.1, SO:0001217, UniParc:UPI0002B4FDBD, UniRef:UniRef100_UPI0002B4FDBD, UniRef:UniRef50_A0A239SNQ5, UniRef:UniRef90_J3FAC6
contig_1	cds	11154	12236	-	HPMCLD_00055		RNA helicase	SO:0001217, UniRef:UniRef50_A0A380JIZ2, UniRef:UniRef90_Q8DTF9
contig_1	cds	12233	13213	-	HPMCLD_00060	mviM	putative dehydrogenase	COG:COG0673, COG:R, RefSeq:WP_002266521.1, SO:0001217, UniParc:UPI0002B5C446, UniRef:UniRef100_UPI0002B5C446, UniRef:UniRef50_A0A1Q8EBX0, UniRef:UniRef90_Q8DTG0
contig_1	cds	13432	14061	+	HPMCLD_00065	udk	uridine kinase	COG:COG0572, COG:F, EC:2.7.1.48, GO:0004849, GO:0005524, GO:0005737, GO:0016310, GO:0043771, GO:0044206, GO:0044211, RefSeq:WP_002262709.1, SO:0001217, UniParc:UPI00000E311A, UniRef:UniRef100_Q8DTG1, UniRef:UniRef50_Q8DTG1, UniRef:UniRef90_Q8DTG1
contig_1	cds	14388	15953	+	HPMCLD_00070	leuA	2-isopropylmalate synthase	COG:COG0119, COG:E, EC:2.3.3.13, GO:0003852, GO:0009098, RefSeq:WP_002264341.1, SO:0001217, UniParc:UPI0001B05505, UniRef:UniRef100_A0A829BPB7, UniRef:UniRef50_Q8Y5R9, UniRef:UniRef90_Q8DTG2
